이름,artist,image,link,month,producer,rank_status,ranking,sales_volume,title
Eyes wide open,TWICE,https://circlechart.kr/uploadDir/albumImg/thumb/20201103_E8259FC0B88E19749BB7B8F988A4EEF9.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,JYP Entertainment,-6,42,,I CAN`T STOP ME
아무노래,지코 (ZICO),https://circlechart.kr/uploadDir/albumImg/thumb/09789E8DDAFF4AC9A59034C63C49ACB0.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,KOZ 엔터테인먼트,8,179,,아무노래
SOLO,제니 (JENNIE),https://circlechart.kr/uploadDir/albumImg/thumb/107456024A4F4E098B55BFB0B1651664.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,YG Entertainment,-,90,,SOLO
DIMENSION : ANSWER,ENHYPEN,https://circlechart.kr/uploadDir/albumImg/thumb/20220118_326D5CEC757BC616C1179FA535D1F3CD.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,빌리프랩,new,23,,Polaroid Love
취중고백,김민석,https://circlechart.kr/uploadDir/albumImg/thumb/20211228_5DE92209B54A535B2EFF6B161DEBCAFE.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,프로젝트 리본,hot,17,,취중고백
쇼미더머니 10 Episode 2,sokodomo,https://circlechart.kr/uploadDir/albumImg/thumb/20211116_E2BE5AF21E77613E8E44F843B1D45811.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,Stone Music Entertainment,-6,14,,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)"
비가 오는 날엔 (2021),헤이즈 (Heize),https://circlechart.kr/uploadDir/albumImg/thumb/20210810_DD1F3290A467794FA41E9A5D5DCDA134.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,PLAYLIST,-15,144,,비가 오는 날엔 (2021)
지리산 OST Part.4,진 (JIN),https://circlechart.kr/uploadDir/albumImg/thumb/20211116_0C558C2BAAA9F187A45A9ED9440895E3.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,"에이스토리, 모스트콘텐츠",-8,110,,Yours
YES or YES,TWICE,https://circlechart.kr/uploadDir/albumImg/thumb/8E73CC3F88D54E1CB51F755A72875817.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,JYP Entertainment,-16,162,,YES or YES
사랑이 아니었다고 말하지 마요,이예준,https://circlechart.kr/uploadDir/albumImg/thumb/20220118_31F2BC17F5C4DA6CAD94120D37A60D5A.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,이예준,new,172,,사랑이 아니었다고 말하지 마요
LALISA,리사 (LISA),https://circlechart.kr/uploadDir/albumImg/thumb/20210914_7A09C360BA0128CA3AE58F145539CC43.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,YG Entertainment,-9,28,,LALISA
Christmas EveL,Stray Kids (스트레이 키즈),https://circlechart.kr/uploadDir/albumImg/thumb/20211207_395E80ADC7896FDFE1E36F101CE7A3F8.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,JYP Entertainment,-79,100,,Christmas EveL
Celebrity,아이유 (IU),https://circlechart.kr/uploadDir/albumImg/thumb/20210202_188C7C5F43D4EE1027B6361A8AF2C7D0.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,EDAM엔터테인먼트,-3,29,,Celebrity
Ice Cream (with Selena Gomez),BLACKPINK,https://circlechart.kr/uploadDir/albumImg/thumb/20200901_4FC4826D80DDE0D17330EA2E73030326.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,YG Entertainment,16,49,,Ice Cream (with Selena Gomez)
밤편지,아이유 (IU),https://circlechart.kr/uploadDir/albumImg/thumb/DC64394E1EB747EC8FEA6D2967D7ED24.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,"페이브엔터테인먼트,카카오 M",-2,151,,밤편지
혼돈의 장: FIGHT OR ESCAPE,투모로우바이투게더,https://circlechart.kr/uploadDir/albumImg/thumb/20210824_BE67AEA82553B7E49CC95B10120D97AB.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,BIGHIT MUSIC / HYBE,-,84,,LO$ER=LO♡ER
흰눈,먼데이 키즈 (Monday Kiz),https://circlechart.kr/uploadDir/albumImg/thumb/20211221_74F4D8027B8F4D9B478277037A697035.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,프로젝트 리본,83,57,,흰눈
SQUARE ONE,BLACKPINK,https://circlechart.kr/uploadDir/albumImg/thumb/F0319FA88C2A4B4E831C53D985897E4B.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,YG Entertainment,-4,154,,휘파람
LOVE YOURSELF 承 `Her`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/4FFEC38AFE9D45379D5982F3528D6573.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,BIGHIT MUSIC / HYBE,-3,50,,DNA
